[predict] рецепт: порог=0.5500 по «top1», TTA flip=False, быстрый декод=True, DBA k=0, k-reciprocal=True (6/2)
[predict] запросов 1110, галерея 750
extract[gallery]:  67%|██████▋   | 16/24 [00:29<00:06,  1.30batch/s]
extract[gallery]:  71%|███████   | 17/24 [00:30<00:06,  1.08batch/s]
extract[gallery]:  75%|███████▌  | 18/24 [00:30<00:04,  1.45batch/s]
extract[gallery]:  79%|███████▉  | 19/24 [00:30<00:02,  1.92batch/s]
extract[gallery]:  83%|████████▎ | 20/24 [00:30<00:01,  2.47batch/s]
extract[gallery]:  88%|████████▊ | 21/24 [00:31<00:00,  3.09batch/s]
extract[gallery]:  92%|█████████▏| 22/24 [00:31<00:00,  3.76batch/s]
extract[gallery]:  96%|█████████▌| 23/24 [00:31<00:00,  4.43batch/s]
extract[gallery]: 100%|██████████| 24/24 [00:33<00:00,  1.38s/batch]
[extract] gallery: 44.0 мс/кроп всего = 4.2 сеть + 39.8 чтение кадров с диска
[predict] эмбеддинги: 1860 кропов за 75.3 с = 24.7 кроп/с
[submit] embeddings.npy (1860, 1536) → submission_v2\embeddings.npy
[submit] submission.csv (1110 запросов, top-10) → submission_v2\submission.csv
[submit] candidates.csv: отказов 69/1110 → submission_v2\candidates.csv
[predict] готово за 83.6 с → submission_v2
[W919 17:59:08.000000000 CudaIPCTypes.cpp:16] Producer process has been terminated before all shared CUDA tensors released. See Note [Sharing CUDA tensors]
